,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label
19052,free_mentions,Avoda,Left,Likud,Right,HassonYoel,IsraeliPM,"כל מנהיג מזרחי שמתנגד לנתניהו גם מתוך הליכוד ומחוצה לו, מיד מוצג כ""קוף שירד מן העצים"". נתניהו, שמעיד על עצמו שהוא מתעצבן רק שקופץ לו הגן המזרחי, גם פסול כי הוא גזען. הגיע הזמן לשיח של דעות ולא של עדות. מצפה מ@netanyahu להשתלט על הבולדוגים שלו,  שמפיצים ממים גזעניים בשעות האחרונות https://t.co/2V9KhEq3G9",
14345,user_mentions,Avoda,Left,Culanu,Right,ErelMargalit,elicoh1,"החזון הופך למציאות -וזה מרגש. את מה שעשינו עם הסייבר בב""ש נעשה כעת בצפון. משרדי הממשלה העניקו היום רוח גבית ליוזמה שלנו להפיכת ק""ש למוקד חדשנות בינ""ל בתחום הפודטק. שאפו ענק ל @KahlonMoshe ו@elicoh1 ולשירה גרינברג ואנשי משרדי האוצר והכלכלה שדוחפים בכל הכוח https://t.co/y5H0zkNg0A",
29181,free_mentions,Avoda,Left,Likud,Right,mikiros1,IsraeliPM,רשימת ההישגים של ממשלת נתניהו: הורדת מחירי הדיור - נכשל ❌ הרתעת החמאס - נכשל ❌ הורדת מחירי המזון - נכשל ❌ מספר המועסקים במשק -✔️ שוחד מרמה והפרת אמונים -✔️,
9491,free_mentions,Blue and White,Center,Likud,Right,BlueWhite2019,netanyahu,"בתגובה לפרסום בערוץ 13 אמש:  נתניהו ממשיך לשקר במצח נחושה! העובדות: 1. המסמכים שהוצגו מתייחסים לעיסקה קודמת בה ישראל נתנה הסכמתה למכירת שתי צוללות מדגם נחות מאלה שבידי ישראל למצרים. עיסקה שהתנהלה בשקיפות, בבקרה, בתהליך סדור ובהסכמה בין כלל הדרגים הצבאיים והמדיניים ויצאה לפועל.",
3179,free_mentions,Avoda,Left,Avoda,Left,amirperetz,HavodaParty,"על המשבר בעזה, גירוש מבקשי המקלט ומפלגת העבודה: האזינו לשיחה שלי עם בן כספית ואריה אלדד @BenCaspit @radio103fm  https://t.co/SnSVAP7XvE",
1847,user_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,drAnatBerko,"נורבגים ידידי ישראל במפגן תמיכה מרשים ומרגש לרגל 70 שנה לישראל. הגידול המשמעותי במספר החברים החל כשהחלנו לתרגם לנורבגית חדשות מישראל והרחבנו על הנעשה,מסביר לנו גרובן מנכל @miffno @ReinsteinJosh @drAnatBerko @AmirOhana https://t.co/b96ORZhLap",
117,user_mentions,Hadash Taal,Left,Culanu,Right,Ahmad_tibi,DrMichaelOren,@DrMichaelOren @arikbender #מחלי,
17086,free_mentions,Likud,Right,Likud,Right,giladerdan1,Tzachi_Hanegbi,שמעתם על המיזם להצלת ים המלח? לצחי הנגבי מגיע עליו פרגון ענק!  ומי משתמשת בטרמפולינה שלנו?  @Tzachi_Hanegbi https://t.co/jIBalSXkr3,
12985,user_mentions,Likud,Right,Likud,Right,dudiamsalem,oren_haz,@hani24 @nadavabeksis @oren_haz @ariyederi @KahlonMoshe חתיכת אתגר,
1064,quoted_status,Hadash Taal,Left,Hadash Taal,Left,AidaTuma,AidaTuma,"ירידה משמעותית בתלונות ב- 2016, יותר מ 60%!  באותה שנה בה ראש הקדקוד אמר שתלונות אנונימיות לא ייחקרו. https://t.co/0wSPGgKq1f",
17235,user_mentions,Likud,Right,Yamin Hadash,Right,giladerdan1,Ayelet__Shaked,@Nehemia_G @Ayelet__Shaked זה ציוצים. לא פוסטים. ואפילו לכללים שלך יש חריגים נחמיה. תאמין או לא .,
14212,user_mentions,Avoda,Left,Yamin Hadash,Right,Eranhermoni,naftalibennett,מצפים לגינוי:  @netanyahu @regev_miri @naftalibennett @moshefeiglin https://t.co/CkDGXLiw10,
565,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,regev_miri,מירי רגב: רגע רגע רגע רגע.. מי זה מחמוד דרוויש? @GLZRadio,
5260,user_mentions,Avoda,Left,Israel Resilience Party,Center,Ayeletnnv,bogie_yaalon,"@danizamir @BlueWhite2019 @bogie_yaalon @yairlapid @gantzbe תודה דני,תודה. למדתי לא לצפות ממך לדבר. עדיין מאוד אוהבת את מה שאתה עושה במכינה ואת העומדות בראשה עד כדי כך שהשתתפתי לאחרונה בגיוס הכספים לבקשת לורה. אבל אני כמובן חזות כל הרע....תמשיכו להטיף לי ",
28424,quoted_status,Avoda,Left,Avoda,Left,MeravMichaeli,mikiros1,מושלם! https://t.co/sOhmtSrh7D,
2439,free_mentions,Yesh Atid,Center,Yesh Atid,Center,aliza_lavie,aliza_lavie,"ח""כ עליזה לביא:""כולנו חטאנו כחברה,ראוי לפתור כבר את סוגיית הגיור"": http://t.co/9jh1vNO3VU דרך @youtube",
27189,user_mentions,Avoda,Left,Avoda,Left,MeravMichaeli,swid4,@goldens32 @Syechimovich @ishmuli @StavShaffir @amirperetz @EmilieMoatti @omerbarlev @swid4 @itay_almog_bar @yayafink תודה רבה שרון💪🏻,
9712,free_mentions,Israel Resilience Party,Center,Likud,Right,bogie_yaalon,IsraeliPM,"זה לא פשוט. יש מאחורי המערכת המשומנת של נתניהו הרבה כסף והרבה שקרים, אבל אנחנו החלטנו שאנחנו לא משקרים. אני מצפה מהציבור, למרות המגבלות הללו - להבין שהבחירות האלה הן על גורלה של המדינה. עוד מדבריי ל-@talshalev1, באירוע המכינות הקדם צבאיות באוניברסיטת תל אביב הבוקר. https://t.co/wfmWznYKZx",
22720,user_mentions,Avoda,Left,Avoda,Left,ishmuli,omerbarlev,@HaimHabulai @Syechimovich @amirperetz @StavShaffir @EmilieMoatti @omerbarlev @yayafink @itay_almog_bar @mk_mizrahimoshe תודה חיים. 🙏🏻,
30904,free_mentions,Avoda,Left,Yamin Hadash,Right,MKNachmanShai,Ayelet__Shaked,ולחשוב שכל המהפיכה הגדולה של איילת שקד נשענה על אפי נווה ונציגי לשכת עורכי הדין? מצמרר.,
8062,free_mentions,Israel Betenu,Right,Israel Betenu,Right,Beytenu,AvigdorLiberman,"Avigdor Liberman - אביגדור ליברמן היום חנכתי יחד עם שר התחבורה ישראל כץ את הפרוייקט לשדרוג כביש 31, סמוך לערד.... http://t.co/4AbeJgut",
29042,user_mentions,Avoda,Left,Avoda,Left,mikiros1,Ayeletnnv,@Ayeletnnv מזל טוב,
33725,free_mentions,Avoda,Left,Likud,Right,omerbarlev,netanyahu,מבלי להתייחס למתווה הגז עצמו - במדינה בה הרשות המחוקקת איבדה כבר מזמן את הרלוונטיות שלה בג׳ץ עצר היום את הדיקטטורה השילטונית של נתניהו,
14611,free_mentions,Avoda,Left,Avoda,Left,ErelMargalit,HaimJelin,"@elicoh1 ודרור שטרום עושים עבודת קודש יחד עם יוסי יונה, חיים ילין ואחרים בוועדת הרפורמות לפתוח את שוק האשראי לתחרות https://t.co/PFLObq9TZ1",
6734,free_mentions,Likud,Right,Yesh Atid,Center,ayoobkara,yairlapid,נתניהו לא מנצל עובדים ולא נכנע(תמיד אשם!?)הצלת רשות השידור מגסיסתה גם אם פגעה קשה בליכוד עדיף על הוצאתה להורג באמצעות תאגיד מחליף שהגה לפיד. https://t.co/oumgFyAWgz,
38721,free_mentions,Avoda,Left,Yamin Hadash,Right,StavShaffir,Ayelet__Shaked,"עכשיו בוועדת חוקה: שאלתי את השרה איילת שקד מה עמדת משרדה לגבי מימון מדינה לעמותות שמקדמות אלימות נגד הצבא, כמו ועד מתישבי שומרון ובנימין?",
