,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label
24360,user_mentions,Yesh Atid,Center,Avoda,Left,KElharrar,HassonYoel,@HassonYoel @akivanovick הכתובת היא שר התחבורה. לטיפולך המסור😊,
21903,user_mentions,Yesh Atid,Center,Israel Resilience Party,Center,idanroll,YoazHendel1,הבוקר בפאנל בתיכון בגין בראש העין קרא @YoazHendel1 לתלמידים ״ילדי שמנת״. בעיני הם העתיד של המדינה האהובה שלנו. https://t.co/7Ln0pdBbT8,
39315,user_mentions,Avoda,Left,Likud,Right,swid4,netanyahu,רק תחשבו איזה סרטון היה מעלה @netanyahu אם מדינה אחרת הייתה מחוקקת חוק לאום כזה נגד יהודים! https://t.co/WBAmNEHYLk,
20904,free_mentions,Avoda,Left,Avoda,Left,HavodaParty,HavodaParty,"יו""ר מפלגת העבודה, שלי יחימוביץ', פתחה את ישיבתה של סיעת העבודה בהבעת הזדהות עם שביתת השלטון המקומי. ""הגיעו מים עד... http://t.co/T7Gp2pbb",
12687,free_mentions,Likud,Right,Yesh Atid,Center,dudiamsalem,yairlapid,ליאור שליין (לשם שינוי לא אמסלם) לוקח את יאיר לפיד ואת שקריו לטיול של 10 דקות וקצת. מסתבר שהחיים במרכז הם זיגזג ואם זה לא היה עצוב זה בהחלט היה משעשע. אדון לפיד הוא בלוף ועד היום הוא צחק על חשבוננו. תראו את זה. https://t.co/oMXM9jsw2H,
14545,free_mentions,Avoda,Left,Likud,Right,ErelMargalit,IsraeliPM,"שמור על קור רוח, מר נתניהו. ואגב, קצת קשה לשבש הליכי חקירה כשאין חקירה. לכן עתרתי לבגצ. https://t.co/J9fhppie7c",
24283,quoted_status,Yesh Atid,Center,Yamin Hadash,Right,KElharrar,Shuli_MR,כל הכבוד ל@Shuli_MR על הובלת היום המוצלח בנושא ילדי וילדות כפרי הנוער והפנימיות. בנושא הזה אין קואליציה ואופוזיציה. כולנו יחד פועלים למטרה החשובה. https://t.co/BchC2CkKPs,
22891,user_mentions,Avoda,Left,Avoda,Left,ishmuli,Syechimovich,@GiladDekel @HavodaParty @Syechimovich @yayafink @StavShaffir @amirperetz @MeravMichaeli @cabel_eitan @omerbarlev @micZerno תודה גלעד 🙏🏻,
5467,free_mentions,Avoda,Left,Zehut,Right,Ayeletnnv,moshefeiglin,"שמעתי הרגע דיווח שהליכוד יתן את האוצר לפייגלין. זה הרגע המתאים לומר להורים ששומעים מילדיהם הצעירים שזהות מגניבים והם שוקלים להצביע להם,שיש להם אחריות גם על ילדים בגירים.....",
44591,user_mentions,Yesh Atid,Center,Avoda,Left,YeshAtidParty,HaimJelin,"בהמשך לבקשתו של ח""כ @HaimJelin ועדת הכספים תקיים מחר ישיבת מעקב בנושא אי יישום תכנית אסטרטגית רב שנתית לפיתוח שדרות ויישובי עוטף עזה.",
